SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
PAST SALE,March-20-2014,Single Family Residential,721 B 26th Ave,Seattle,WA,98122,700000.0,3.0,1.0,Central Area,1430.0,1604.0,1930.0,6.0,490.0,,Pending,,,https://www.redfin.com/WA/Seattle/721-26th-Ave-98122/home/179746340,NWMLS as Distributed by MLS Grid,2233740,N,Y,47.6087185,-122.2992479,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,April-20-2018,Condo/Co-op,1516 E Pike St #302,Seattle,WA,98122,669950.0,2.0,2.0,Capitol Hill,952.0,,1980.0,6.0,704.0,530.0,Pending,,,https://www.redfin.com/WA/Seattle/1516-E-Pike-St-98122/unit-302/home/30751,NWMLS as Distributed by MLS Grid,2220065,N,Y,47.6142831,-122.3118559,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,June-20-2023,Single Family Residential,526 28th Ave,Seattle,WA,98122,999950.0,4.0,2.0,Central Area,2140.0,4550.0,1958.0,6.0,467.0,,Pending,,,https://www.redfin.com/WA/Seattle/526-28th-Ave-98122/home/149296,NWMLS as Distributed by MLS Grid,2194040,N,Y,47.6070281,-122.2955978,7,3.142857142857143,3.267610438342146,73.12
MLS Listing,,Townhouse,1715 A 18th Ave,Seattle,WA,98122,886000.0,2.0,1.5,Capitol Hill,1250.0,1268.0,2006.0,6.0,709.0,,Active,,,https://www.redfin.com/WA/Seattle/1715-18th-Ave-98122/unit-A/home/12090352,NWMLS as Distributed by MLS Grid,2228679,N,Y,47.61695,-122.3090852,7,3.142857142857143,3.267610438342146,73.12
MLS Listing,,Single Family Residential,200 Martin Luther King Jr Way,Seattle,WA,98122,1495000.0,4.0,4.0,Seattle,3040.0,4350.0,2015.0,6.0,492.0,,Active,,,https://www.redfin.com/WA/Seattle/200-Martin-Luther-King-Jr-Way-98122/home/22482702,NWMLS as Distributed by MLS Grid,2230922,N,Y,47.6037074,-122.2964944,7,3.142857142857143,3.267610438342146,73.12
MLS Listing,,Condo/Co-op,1631 16th Ave #417,Seattle,WA,98122,372000.0,1.0,1.0,Capitol Hill,644.0,,1929.0,6.0,578.0,813.0,Active,May-18-2024 01:00 PM,May-18-2024 04:00 PM,https://www.redfin.com/WA/Seattle/1631-16th-Ave-98122/unit-417/home/36300,NWMLS as Distributed by MLS Grid,2234442,N,Y,47.6160293,-122.3118091,7,3.142857142857143,3.267610438342146,73.12
MLS Listing,,Condo/Co-op,1136 13th Ave #104,Seattle,WA,98122,279000.0,1.0,1.0,Capitol Hill,600.0,,1924.0,7.0,465.0,616.0,Active,,,https://www.redfin.com/WA/Seattle/1136-13th-Ave-98122/unit-104/home/14371767,NWMLS as Distributed by MLS Grid,2234270,N,Y,47.6126959,-122.3150873,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,July-2-2002,Single Family Residential,327 16th Ave,Seattle,WA,98122,1165000.0,4.0,2.5,Central Area,2250.0,5120.0,1950.0,7.0,518.0,,Pending,,,https://www.redfin.com/WA/Seattle/327-16th-Ave-98122/home/143766,NWMLS as Distributed by MLS Grid,2229697,N,Y,47.6051993,-122.3118743,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,December-30-2014,Single Family Residential,321 22nd Ave,Seattle,WA,98122,799950.0,3.0,2.5,Central Area,1579.0,1156.0,2014.0,7.0,507.0,,Pending,,,https://www.redfin.com/WA/Seattle/321-22nd-Ave-98122/home/145667,NWMLS as Distributed by MLS Grid,2227475,N,Y,47.604955,-122.3040628,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,May-22-2001,Single Family Residential,920 29th Ave,Seattle,WA,98122,1299000.0,4.0,3.0,Madrona,2890.0,4400.0,1988.0,7.0,449.0,,Pending,,,https://www.redfin.com/WA/Seattle/920-29th-Ave-98122/home/146758,NWMLS as Distributed by MLS Grid,2224564,N,Y,47.610663,-122.294655,7,3.142857142857143,3.267610438342146,73.12
