SALE TYPE,PROPERTY TYPE,CITY,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
MLS Listing,Single Family Residential,Federal Way,98023,1688000.0,6.0,4.5,Federal Way,5909.0,13950.0,2008.0,7.0,286.0,47.3342049,-122.3462432,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,824999.0,3.0,3.0,Dash Point,2330.0,13020.0,1962.0,21.0,354.0,47.3347296,-122.3480886,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,699950.0,3.0,2.5,Lakota,2335.0,7099.0,1990.0,42.0,300.0,47.3158168,-122.3544616,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,649000.0,3.0,2.0,Adelaide,2760.0,20037.0,1958.0,55.0,235.0,47.3241667,-122.3524156,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,2000000.0,3.0,4.5,Lakota,4240.0,57639.0,1998.0,1.0,472.0,47.3342851,-122.3699968,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,545000.0,4.0,1.5,Federal Way,1410.0,8330.0,1970.0,1.0,387.0,47.3019455,-122.3782982,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Condo/Co-op,Federal Way,98023,335000.0,2.0,2.0,Twin Lakes,1193.0,780789.0,1978.0,1.0,281.0,47.3155154,-122.357813,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,575000.0,4.0,2.5,Federal Way,2020.0,6440.0,1975.0,1.0,285.0,47.3208632,-122.3742223,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,849950.0,3.0,2.0,Mirror Lake,2220.0,12675.0,1997.0,1.0,383.0,47.3217296,-122.3400393,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,649000.0,4.0,2.0,Federal Way,1620.0,8262.0,1970.0,1.0,401.0,47.3140143,-122.3857673,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,529000.0,3.0,2.5,Federal Way,1800.0,12199.0,1964.0,1.0,294.0,47.321619,-122.370797,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,585000.0,3.0,2.5,Federal Way,1390.0,7700.0,1980.0,1.0,421.0,47.3027175,-122.3838966,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,1699000.0,3.0,2.5,Twin Lakes,2800.0,10400.0,1978.0,1.0,607.0,47.3214738,-122.3856075,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,760000.0,3.0,2.0,Twin Lakes,1830.0,9620.0,1978.0,2.0,415.0,47.3122748,-122.3887112,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,1698800.0,5.0,5.0,Buenna,5236.0,18240.0,1988.0,2.0,324.0,47.3383128,-122.3484066,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,449000.0,3.0,2.5,Wedgewood,1880.0,9450.0,1978.0,2.0,239.0,47.2980199,-122.3797089,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,709000.0,4.0,2.5,Campus Highlands,2422.0,5000.0,2004.0,2.0,293.0,47.2942027,-122.3520213,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,664950.0,3.0,2.0,Twin Lakes,2050.0,9000.0,1976.0,3.0,324.0,47.3109341,-122.3631958,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,729000.0,5.0,3.0,Federal Way,2450.0,6208.0,2011.0,4.0,298.0,47.2810742,-122.3573446,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,850000.0,4.0,3.0,Dash Point,2270.0,47480.0,1978.0,4.0,374.0,47.3162539,-122.398346,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,715000.0,3.0,2.5,West Campus,2110.0,8941.0,1987.0,4.0,339.0,47.3075937,-122.3521904,14,1.7857142857142858,2.1635397123202003,22.01
